Time,Forecast_MW,CloudCover,Temp,WindSpeed,PrecipProb,Fact_MW
2026-03-28 16:00:00,3.861,97.1,16.3,16.2,25.8,3.43
2026-03-28 17:00:00,2.12,97.6,15.7,15.5,25.8,2.792
2026-03-28 18:00:00,1.414,84.2,14.6,14.0,25.8,0.464
2026-03-28 19:00:00,0.707,70.8,13.5,12.6,25.8,0.007
2026-03-28 20:00:00,0.0,57.4,12.5,11.2,25.8,0.0
2026-03-28 21:00:00,0.0,71.6,11.9,9.2,25.8,0.0
2026-03-28 22:00:00,0.0,85.8,11.4,7.3,25.8,0.0
2026-03-28 23:00:00,0.0,100.0,10.9,5.4,25.8,0.0
2026-03-29 00:00:00,0.0,95.3,10.6,6.5,25.8,0.0
2026-03-29 01:00:00,0.0,90.7,10.4,7.6,25.8,0.0
2026-03-29 02:00:00,0.0,86.0,10.2,8.6,25.8,0.0
2026-03-29 03:00:00,,,,,,0.0
2026-03-29 04:00:00,0.0,90.7,10.3,10.9,19.4,0.0
2026-03-29 05:00:00,0.0,95.3,10.4,13.2,19.4,0.0
2026-03-29 06:00:00,0.0,100.0,10.5,15.5,19.4,0.106
2026-03-29 07:00:00,0.103,100.0,10.8,16.8,19.4,0.892
2026-03-29 08:00:00,0.205,100.0,11.2,18.1,19.4,2.264
2026-03-29 09:00:00,0.308,100.0,11.6,19.4,19.4,6.034
2026-03-29 10:00:00,0.901,100.0,12.4,18.7,22.6,7.958
2026-03-29 11:00:00,1.493,100.0,13.3,18.0,22.6,9.951
2026-03-29 12:00:00,2.086,100.0,14.2,17.3,22.6,10.847
2026-03-29 13:00:00,1.801,100.0,14.0,12.8,22.6,10.634
2026-03-29 14:00:00,1.516,100.0,13.8,8.4,22.6,9.485
2026-03-29 15:00:00,1.231,100.0,13.6,4.0,22.6,5.433
2026-03-29 16:00:00,1.057,100.0,12.7,5.5,48.4,4.19
2026-03-29 17:00:00,0.881,100.0,11.8,7.1,48.4,1.896
2026-03-29 18:00:00,0.707,100.0,11.0,8.6,48.4,0.436
2026-03-29 19:00:00,0.471,100.0,10.9,9.5,48.4,0.004
2026-03-29 20:00:00,0.236,100.0,10.8,10.3,48.4,0.0
2026-03-29 21:00:00,0.0,100.0,10.7,11.2,48.4,0.0
